# tmo      hf          ccsd        ccsd(t)          afqmc/hf                    afqmc/cisd                  afqmc_pt                   afqmc_pt2                REF
  CrO   -101.91078  -102.72383  -102.76861  -102.772941 +/- 0.000662    -102.773572 +/- 0.000669    -102.769479 +/- 0.000711    -102.774510 +/- 0.000585    -102.7798
  CuO   -212.24999  -213.43545  -213.48156  -213.492403 +/- 0.001059    -213.482952 +/- 0.000764    -213.477156 +/- 0.001099    -213.476377 +/- 0.001297    -213.4842
  FeO   -138.73131  -139.65228  -139.70395  -139.703840 +/- 0.001025    -139.703406 +/- 0.000927    -139.701934 +/- 0.001724    -139.704987 +/- 0.000833    -139.7114
  MnO   -119.20826  -120.04818  -120.08661  -120.108011 +/- 0.000763    -120.094544 +/- 0.000696    -120.087786 +/- 0.000724    -120.092765 +/- 0.000631    -120.0971
  ScO   -61.8354    -62.5253    -62.5661    -62.569528 +/- 0.000872     -62.565687 +/- 0.000698     -62.563194 +/- 0.000935     -62.560717 +/- 0.001268     -62.5685
  TiO   -73.28343   -74.026664  -74.0726    -74.070424 +/- 0.000876     -74.071330 +/- 0.000516     -74.068209 +/- 0.000693     -74.065294 +/- 0.001182     -74.0755
   VO   -86.42999   -87.23313   -87.2842    -87.279800 +/- 0.000778     -87.282378 +/- 0.001434     -87.280481 +/- 0.000609     -87.281003 +/- 0.001745     -87.2887
   Cr   -86.21941   -86.750913  -86.7672    -86.763362 +/- 0.000546     -86.765744 +/- 0.000152     -86.765690 +/- 0.000178     -86.765770 +/- 0.000146     -86.7676
   Cu   -196.56689  -197.50526  -197.5385   -197.535868 +/- 0.000969    -197.532749 +/- 0.000413    -197.531399 +/- 0.000574    -197.530494 +/- 0.000756    -197.5364
   Fe   -123.04668  -123.69608  -123.7160   -123.707818 +/- 0.000520    -123.713961 +/- 0.000177    -123.715268 +/- 0.000149    -123.715293 +/- 0.000150    -123.7168
   Mn   -103.52214  -104.09688  -104.1143   -104.111127 +/- 0.000475    -104.113468 +/- 0.000180    -104.113863 +/- 0.000128    -104.113923 +/- 0.000136    -104.1150
   Sc   -46.061302  -46.457239  -46.4724    -46.466604 +/- 0.000409     -46.471729 +/- 0.000176     -46.472549 +/- 0.000147     -46.472606 +/- 0.000132     -46.4740
   Ti   -57.529818  -57.96588   -57.9814    -57.974025 +/- 0.000427     -57.980764 +/- 0.000185     -57.981700 +/- 0.000136     -57.981673 +/- 0.000150     -57.9830
    V   -70.704457  -71.18778   -71.2042    -71.195229 +/- 0.000400     -71.203351 +/- 0.000173     -71.204076 +/- 0.000109     -71.204395 +/- 0.000125     -71.2058
    O   -15.659151  -15.83474   -15.8387    -15.835478 +/- 0.000230     -15.838778 +/- 0.000038     -15.838968 +/- 0.000030     -15.838968 +/- 0.000031     -15.8391
