# tmo      hf          ccsd        ccsd(t)          afqmc/hf                    afqmc/cisd                      afqmc_pt                    afqmc_pt2            REF
  CrO   -101.90896  -102.66661  -102.707942     -102.714318 +/- 0.000665    -102.713080 +/- 0.000644    -102.706890 +/- 0.000540    -102.713670 +/- 0.000461  -102.7187
  CuO   -212.24921  -213.33431  -213.374845     -213.386055 +/- 0.001291    -213.375776 +/- 0.000906    -213.369644 +/- 0.001025    -213.365925 +/- 0.001317  -213.3778
  FeO   -138.73002  -139.58107  -139.627617     -139.629155 +/- 0.000836    -139.628523 +/- 0.000967    -139.627692 +/- 0.001786    -139.629181 +/- 0.000783  -139.6355
  MnO   -119.20732  -119.98457  -120.019560     -120.041041 +/- 0.000838    -120.028179 +/- 0.000691    -120.020474 +/- 0.000605    -120.026081 +/- 0.000554  -120.0293
  ScO   -61.834217  -62.489503  -62.5275879     -62.532127 +/- 0.000898     -62.528023 +/- 0.000600     -62.524376 +/- 0.000740     -62.521878 +/- 0.001075   -62.5301
  TiO   -73.281650  -73.984853  -74.0271562     -74.027715 +/- 0.000897     -74.028086 +/- 0.000487     -74.023285 +/- 0.000635     -74.020316 +/- 0.001300   -74.0309
   VO   -86.428704  -87.183407  -87.2267599     -87.226943 +/- 0.002267     -87.228928 +/- 0.001073     -87.227593 +/- 0.000757     -87.225908 +/- 0.001006   -87.2353
   Cr   -86.219155  -86.706591  -86.7205000     -86.716741 +/- 0.000473     -86.718990 +/- 0.000211     -86.718993 +/- 0.000144     -86.718922 +/- 0.000155   -86.7209
   Cu   -196.56664  -197.41740  -197.446000     -197.445057 +/- 0.000982    -197.441816 +/- 0.000408    -197.440884 +/- 0.000645    -197.440268 +/- 0.000804  -197.4446
   Fe   -123.04614  -123.63925  -123.656600     -123.648131 +/- 0.000494    -123.654737 +/- 0.000184    -123.655922 +/- 0.000152    -123.655885 +/- 0.000163  -123.6572
   Mn   -103.52189  -104.04778  -104.063100     -104.060633 +/- 0.000449    -104.062236 +/- 0.000154    -104.062719 +/- 0.000120    -104.062874 +/- 0.000153  -104.0637
   Sc   -46.060866  -46.437059  -46.4508000     -46.445507 +/- 0.000397     -46.450526 +/- 0.000161     -46.451128 +/- 0.000132     -46.451244 +/- 0.000146   -46.4523
   Ti   -57.528606  -57.939082  -57.9531000     -57.945239 +/- 0.000427     -57.952493 +/- 0.000139     -57.953540 +/- 0.000143     -57.953545 +/- 0.000146   -57.9546
    V   -70.703873  -71.152792  -71.1674000     -71.159490 +/- 0.000398     -71.167043 +/- 0.000177     -71.167655 +/- 0.000133     -71.167586 +/- 0.000134   -71.1690
    O   -15.658934  -15.823149  -15.8266000     -15.823199 +/- 0.000185     -15.826698 +/- 0.000035     -15.826906 +/- 0.000026     -15.826916 +/- 0.000029   -15.8270
