# tmo      hf          ccsd        ccsd(t)          afqmc/hf                    afqmc/cisd                      afqmc_pt                    afqmc_pt2            REF
  CrO   -101.8442   -102.6663     -102.7147     -102.7099 +/- 0.0008    -102.7142 +/- 0.0007    -102.706890 +/- 0.000540    -102.713670 +/- 0.000461        -102.7187
  CuO   -212.2435   -213.3343	    -213.3749     -213.3870 +/- 0.0010    -213.3756 +/- 0.0008    -213.369644 +/- 0.001025    -213.365925 +/- 0.001317        -213.3778
  FeO   -138.6672   -139.5871	    -139.6319     -139.6377 +/- 0.0008    -139.6295 +/- 0.0006    -139.627692 +/- 0.001786    -139.629181 +/- 0.000783        -139.6355
  MnO   -119.1396   -119.9860	    -120.0255     -120.0413 +/- 0.0007    -120.0274 +/- 0.0007    -120.020474 +/- 0.000605    -120.026081 +/- 0.000554        -120.0293
  ScO   -61.8337    -62.4895      -62.5276      -62.5348 +/- 0.0009     -62.5270 +/- 0.0006     -62.524376 +/- 0.000740     -62.521878 +/- 0.001075         -62.5301
  TiO   -73.2753    -73.9846      -74.0280      -74.0300 +/- 0.0010     -74.0272 +/- 0.0006     -74.023285 +/- 0.000635     -74.020316 +/- 0.001300         -74.0309
   VO   -86.4067    -87.1816      -87.2313      -87.2280 +/- 0.0010     -87.2298 +/- 0.0006     -87.227593 +/- 0.000757     -87.225908 +/- 0.001006         -87.2353
   Cr   -86.2188    -86.7066	    -86.7205      -86.716741 +/- 0.0005   -86.7197 +/- 0.0003     -86.718993 +/- 0.000144     -86.718922 +/- 0.000155         -86.7209
   Cu   -196.5661   -197.4174	    -197.4460     -197.4460 +/- 0.0009    -197.4414 +/- 0.0003    -197.440884 +/- 0.000645    -197.440268 +/- 0.000804        -197.4446
   Fe   -123.0386   -123.6393	    -123.6566     -123.6485 +/- 0.0006    -123.6549 +/- 0.0003    -123.655922 +/- 0.000152    -123.655885 +/- 0.000163        -123.6572
   Mn   -103.5175   -104.0478	    -104.0631     -104.0607 +/- 0.0005    -104.0626 +/- 0.0002    -104.062719 +/- 0.000120    -104.062874 +/- 0.000153        -104.0637
   Sc   -46.0575    -46.4372	    -46.4508      -46.4458 +/- 0.0003     -46.4507 +/- 0.0002     -46.451128 +/- 0.000132     -46.451244 +/- 0.000146         -46.4523
   Ti   -57.5225    -57.9391	    -57.9531      -57.9455 +/- 0.0004     -57.9527 +/- 0.0002     -57.953540 +/- 0.000143     -57.953545 +/- 0.000146         -57.9546
    V   -70.6969    -71.1528	    -71.1674      -71.1591 +/- 0.0004     -71.1667 +/- 0.0002     -71.167655 +/- 0.000133     -71.167586 +/- 0.000134         -71.1690
    O   -15.6518    -15.8231	    -15.8266      -15.8231 +/- 0.0002     -15.8267 +/- 0.0000    -15.826906 +/- 0.000026      -15.826916 +/- 0.000029         -15.8270
